Here are nio stock earning of 2022 Q4 and 2022 Q3. please compare those and give me some key take aways.

| Date             | Event                                                                                           |
|------------------|-------------------------------------------------------------------------------------------------|
| 11/10/2022       | NIO Inc. reports unaudited third quarter 2022 financial results                                  |
| 11/10/2022       | Quarterly total revenues reached RMB13,002.1 million (US$1,827.8 million)                      |
| 11/10/2022       | Record-high quarterly vehicle deliveries were 31,607 units                                     |
| 11/10/2022       | Vehicle deliveries were 31,607 in the third quarter of 2022, consisting of 22,859 premium smart electric SUVs and 8,748 premium smart electric sedans |
| 11/10/2022       | Vehicle sales were RMB11,932.7 million (US$1,677.5 million) in the third quarter of 2022        |
| 11/10/2022       | Vehicle margin was 16.4% in the third quarter of 2022                                          |
| 11/10/2022       | Total revenues were RMB13,002.1 million (US$1,827.8 million) in the third quarter of 2022      |
| 11/10/2022       | Gross profit was RMB1,735.1 million (US$243.9 million) in the third quarter of 2022            |
| 11/10/2022       | Gross margin was 13.3% in the third quarter of 2022                                            |
| 11/10/2022       | Loss from operations was RMB3,870.3 million (US$544.1 million) in the third quarter of 2022     |
| 11/10/2022       | Net loss was RMB4,110.8 million (US$577.9 million) in the third quarter of 2022                |
| 11/10/2022       | Net loss attributable to NIO’s ordinary shareholders was RMB4,142.3 million (US$582.3 million) in the third quarter of 2022 |
| 11/10/2022       | Basic and diluted net loss per Ordinary Share/American Depositary Share (ADS) were both RMB2.53 (US$0.36) in the third quarter of 2022 |
| 11/10/2022       | Cash and cash equivalents, restricted cash, short-term investment and long-term time deposits were RMB51.4 billion (US$7.2 billion) as of September 30, 2022 |
| 10/31/2022       | Cumulative vehicle deliveries reached 259,563 vehicles as of October 31, 2022                  |
| 09/30/2022       | NIO officially published its first Environmental, Social and Governance (ESG) Report           |
| 10/07/2022       | NIO unveiled its products and services for Germany, the Netherlands, Denmark, and Sweden       |
| Q3 2022          | Vehicle margin decreased to 16.4% due to increased battery cost per unit                         |
| Q3 2022          | Research and development expenses increased by 146.8% from Q3 2021                              |
| Q3 2022          | Selling, general and administrative expenses increased by 48.6% from Q3 2021                   |
| Q3 2022          | Loss from operations increased by 290.2% from Q3 2021                                          |
| Q3 2022          | Net loss increased by 392.1% from Q3 2021                                                      |
| August 23, 2022  | NIO issued 8,805,770 Class A ordinary shares upon conversion of a portion of our convertible senior |
| November 4, 2022 | NIO issued 18,000,000 Class A ordinary shares to Deutsche Bank Trust Company Americas          |
| December 31, 2021 | Consolidated Balance Sheets                                                                     |
| September 30, 2022 | Consolidated Balance Sheets                                                                   |
| September 30, 2022 | Consolidated Statements of Comprehensive Loss         

| Date          | Event                                                                                     |
|---------------|-------------------------------------------------------------------------------------------|
| 03/01/2023 | NIO Inc. reports unaudited Q4 and full year 2022 financial results                           |
| 03/01/2023 | Quarterly total revenues reached RMB16,063.5 million (US$2,329.0 million)                  |
| 03/01/2023 | Record-high quarterly vehicle deliveries were 40,052 units                                 |
| 03/01/2023 | Full year total revenues reached RMB49,268.6 million (US$7,143.3 million)                  |
| 03/01/2023 | Full year vehicle deliveries were 122,486 units                                           |
| 03/01/2023 | NIO delivered 8,506 vehicles in January 2023 and 12,157 vehicles in February 2023          |
| 12/24/2022 | NIO hosted NIO Day 2022 in Hefei, China                                                    |
| 12/24/2022 | NIO launched the EC7, a smart electric flagship coupe SUV, and the All-New ES8             |
| 12/24/2022 | NIO introduced the third-generation Power Swap station and the 500kW ultra-fast Power Charger |
| After publication of Short Seller Report | Independent Committee formed to oversee Internal Review |
| Results of Internal Review | Key allegations of Short Seller Report not substantiated |
| Q4 2022 | NIO delivered 40,052 vehicles, representing a growth of 60% YoY |
| Full year 2022 | NIO delivered 122,486 vehicles, representing a growth of 34% YoY |
| Q4 2022 | NIO established itself as the most competitive premium brand in the smart electric vehicle market in China |
| Q4 2022 | NIO plans to deliver five new products based on NIO Technology Platform 2.0 in 2023 |
| Q4 2022 | NIO plans to deploy 1,000 additional Power Swap stations in 2023 |
| Q4 2022 | NIO's gross margin was 3.9%, compared with 17.2% in Q4 2021 |
| Full year 2022 | NIO's gross margin was 10.4%, compared with 18.9% in 2021 |
| Q4 2022 | NIO's vehicle margin was 6.8%, compared with 20.9% in Q4 2021 |
| Full year 2022 | NIO's vehicle margin was 13.7%, compared with 20.1% in 2021 |
| Q4 2022 | NIO's research and development expenses were RMB3,980.6 million, representing an increase of 117.7% YoY |
| Full year 2022 | NIO's research and development expenses were RMB10,836.3 million, representing an increase of 136.0% YoY |
| December 31, 2021 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 2,179,222 |
| December 31, 2022 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 4,142,320 |
| December 31, 2022 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 5,847,079 |
| December 31, 2022 | Total revenues were RMB 49,268,561 for the year ended December 31, 2022 |
| December 31, 2022 | Gross profit was RMB 5,143,993 for the year ended December 31, 2022 |
| December 31, 2022 | Loss from operations was RMB 15,640,659 for the year ended December 31, 2022 |
| December 31, 2022 | Net loss was RMB 14,437,104 for the year ended December 31, 2022 |
| September 30, 2022 | Net loss attributable to ordinary shareholders of NIO Inc. was RMB 4,142,320 |
| December 31, 2021 | Total revenues were RMB 36,136,423 for the year ended December 31, 2021 |
| December 31, 2021 | Gross profit was RMB 6,821,433 for the year ended December 31, 2021 |
| December 31, 2021 | Loss from operations was RMB 2,445,131 for the year ended December 31, 2021 |
| December 31, 2021 | Net loss was RMB 2,143,429 for the year ended December 31, 2021 |
""
